run_id,timestamp,model_name,skill_name,ablation_id,sample_index,code_commit_hash,python_version,mcri_version,model_temperature,repetitions_planned,repetitions_completed,fail_count,pass_rate,avg_exec_time,score_l1_total,score_l1_1_syntax,score_l1_2_runtime,score_l2_total,score_l2_1_contract,score_l2_2_purity,avg_l3_total,avg_l3_1_internal,avg_l3_2_external,avg_l4_total,avg_l4_1_numeric,avg_l4_2_visual,avg_l4_3_artifacts,avg_complexity_math_ops,avg_complexity_inference_steps,avg_complexity_ast_nodes,avg_complexity_loop_depth,score_program_total,score_math_total,score_l5_architecture,avg_l4_4_mqi,avg_mcri_total,source_code_path,notes,batch_id,golden_prompt_path,prompt_hash,prompt_tokens,completion_tokens,total_tokens,latency_ms,healer_applied,healer_fix_count,healer_fixes_basic,healer_fixes_regex,healer_fixes_ast
3fb02356-0417-444d-aa2e-2b1be4ddc2bf,2026-02-23T04:01:45.136887+00:00,gemini-3-flash,jh_數學2上_FourOperationsOfRadicals,2,4,,3.14.0,6.4,0.7,3,3,0,1.0,0.0,15.0,7.5,7.5,15.0,7.5,7.5,18.0,10.0,8.0,29.0,5.0,4.0,5.0,25.33,6.33,4410.0,2.0,47.0,47.0,17.0,5.0,94.0,E:\Python\MathProject_AST_Research\agent_tools\reports\jh_數學2上_FourOperationsOfRadicals\gen_code\temp_gen_017d6303.py,"L1: AST 解析成功; 無危險函數(或已豁免); Import 白名單通過; 全部成功 (平均 0.00s) | Perf: 6.39s | Tokens: In=1894, Out=1103 | Fix: [Minimal Healer] | Fixes: Basic=0, Advanced=(Regex=0, AST=0) | Verify: Internal Logic Check = PASSED | GenRun:1",,,,1894,1103,2997,6395,1,1,0,0,0
5fe150f2-dcc0-4f1c-8b0b-974f9d6e6c6b,2026-02-23T04:01:54.165895+00:00,gemini-3-flash,jh_數學2上_FourOperationsOfRadicals,2,4,,3.14.0,6.4,0.7,3,3,0,1.0,0.0,15.0,7.5,7.5,15.0,7.5,7.5,18.0,10.0,8.0,29.0,5.0,4.0,5.0,31.33,8.33,4412.0,2.0,47.0,47.0,17.0,5.0,94.0,E:\Python\MathProject_AST_Research\agent_tools\reports\jh_數學2上_FourOperationsOfRadicals\gen_code\temp_gen_b5ad6e49.py,"L1: AST 解析成功; 無危險函數(或已豁免); Import 白名單通過; 全部成功 (平均 0.00s) | Perf: 6.54s | Tokens: In=1894, Out=1103 | Fix: [Minimal Healer] | Fixes: Basic=0, Advanced=(Regex=0, AST=0) | Verify: Internal Logic Check = PASSED | GenRun:2",,,,1894,1103,2997,6537,1,1,0,0,0
7ebe050f-8096-4812-ae38-8ecb350e1329,2026-02-23T04:02:03.104382+00:00,gemini-3-flash,jh_數學2上_FourOperationsOfRadicals,2,4,,3.14.0,6.4,0.7,3,3,0,1.0,0.0,15.0,7.5,7.5,15.0,7.5,7.5,18.0,10.0,8.0,29.0,5.0,4.0,5.0,30.33,8.33,4384.0,2.0,47.0,47.0,17.0,5.0,94.0,E:\Python\MathProject_AST_Research\agent_tools\reports\jh_數學2上_FourOperationsOfRadicals\gen_code\temp_gen_855c034e.py,"L1: AST 解析成功; 無危險函數(或已豁免); Import 白名單通過; 全部成功 (平均 0.00s) | Perf: 6.48s | Tokens: In=1894, Out=1003 | Fix: [Minimal Healer] | Fixes: Basic=0, Advanced=(Regex=0, AST=0) | Verify: Internal Logic Check = PASSED | GenRun:3",,,,1894,1003,2897,6480,1,1,0,0,0
21d3ac52-952f-453d-bd38-4760fb021705,2026-02-23T04:02:12.140291+00:00,gemini-3-flash,jh_數學2上_FourOperationsOfRadicals,2,4,,3.14.0,6.4,0.7,3,3,0,1.0,0.0,15.0,7.5,7.5,15.0,7.5,7.5,18.0,10.0,8.0,29.0,5.0,4.0,5.0,31.0,8.33,4405.0,2.0,47.0,47.0,17.0,5.0,94.0,E:\Python\MathProject_AST_Research\agent_tools\reports\jh_數學2上_FourOperationsOfRadicals\gen_code\temp_gen_5c785c5c.py,"L1: AST 解析成功; 無危險函數(或已豁免); Import 白名單通過; 全部成功 (平均 0.00s) | Perf: 6.56s | Tokens: In=1894, Out=1105 | Fix: [Minimal Healer] | Fixes: Basic=0, Advanced=(Regex=0, AST=0) | Verify: Internal Logic Check = PASSED | GenRun:4",,,,1894,1105,2999,6556,1,1,0,0,0
cac80795-c4e0-4fd3-a84d-548d11a8fc3d,2026-02-23T04:02:22.167352+00:00,gemini-3-flash,jh_數學2上_FourOperationsOfRadicals,2,4,,3.14.0,6.4,0.7,3,3,0,1.0,0.0,15.0,7.5,7.5,15.0,7.5,7.5,18.0,10.0,8.0,29.0,5.0,4.0,5.0,31.33,8.0,4410.0,2.0,47.0,47.0,17.0,5.0,94.0,E:\Python\MathProject_AST_Research\agent_tools\reports\jh_數學2上_FourOperationsOfRadicals\gen_code\temp_gen_9cc79574.py,"L1: AST 解析成功; 無危險函數(或已豁免); Import 白名單通過; 全部成功 (平均 0.00s) | Perf: 7.55s | Tokens: In=1894, Out=1103 | Fix: [Minimal Healer] | Fixes: Basic=0, Advanced=(Regex=0, AST=0) | Verify: Internal Logic Check = PASSED | GenRun:5",,,,1894,1103,2997,7555,1,1,0,0,0
fb11c42e-377b-4454-abbb-6ae34cde57eb,2026-02-23T04:02:31.568221+00:00,gemini-3-flash,jh_數學2上_FourOperationsOfRadicals,3,5,,3.14.0,6.4,0.7,3,3,0,1.0,0.0,15.0,7.5,7.5,15.0,7.5,7.5,18.0,10.0,8.0,29.0,5.0,4.0,5.0,33.33,8.33,4446.0,2.0,50.0,47.0,20.0,5.0,97.0,E:\Python\MathProject_AST_Research\agent_tools\reports\jh_數學2上_FourOperationsOfRadicals\gen_code\temp_gen_5fadcd0a.py,"L1: AST 解析成功; 無危險函數(或已豁免); Import 白名單通過; 全部成功 (平均 0.00s) | Perf: 6.94s | Tokens: In=1894, Out=1199 | Fix: [Full Healer] | Fixes: Basic=0, Advanced=(Regex=0, AST=2) | Verify: Internal Logic Check = PASSED | GenRun:1",,,,1894,1199,3093,6943,1,2,0,0,2
0c59f6b6-5523-45b6-aebd-c595eea417e9,2026-02-23T04:02:40.218301+00:00,gemini-3-flash,jh_數學2上_FourOperationsOfRadicals,3,5,,3.14.0,6.4,0.7,3,3,0,1.0,0.0,15.0,7.5,7.5,15.0,7.5,7.5,18.0,10.0,8.0,29.0,5.0,4.0,5.0,29.67,7.67,4413.0,2.0,50.0,47.0,20.0,5.0,97.0,E:\Python\MathProject_AST_Research\agent_tools\reports\jh_數學2上_FourOperationsOfRadicals\gen_code\temp_gen_03e5e1e7.py,"L1: AST 解析成功; 無危險函數(或已豁免); Import 白名單通過; 全部成功 (平均 0.00s) | Perf: 6.11s | Tokens: In=1894, Out=1103 | Fix: [Full Healer] | Fixes: Basic=0, Advanced=(Regex=0, AST=2) | Verify: Internal Logic Check = PASSED | GenRun:2",,,,1894,1103,2997,6108,1,2,0,0,2
c262d19c-2dac-4f46-99e0-638d3b249024,2026-02-23T04:02:49.797182+00:00,gemini-3-flash,jh_數學2上_FourOperationsOfRadicals,3,5,,3.14.0,6.4,0.7,3,3,0,1.0,0.0,15.0,7.5,7.5,15.0,7.5,7.5,18.0,10.0,8.0,29.0,5.0,4.0,5.0,37.33,10.33,4401.0,2.0,50.0,47.0,20.0,5.0,97.0,E:\Python\MathProject_AST_Research\agent_tools\reports\jh_數學2上_FourOperationsOfRadicals\gen_code\temp_gen_170c9107.py,"L1: AST 解析成功; 無危險函數(或已豁免); Import 白名單通過; 全部成功 (平均 0.00s) | Perf: 7.10s | Tokens: In=1894, Out=1105 | Fix: [Full Healer] | Fixes: Basic=0, Advanced=(Regex=0, AST=2) | Verify: Internal Logic Check = PASSED | GenRun:3",,,,1894,1105,2999,7098,1,2,0,0,2
c2c61c39-5448-4ef5-a4a5-8ee464b10d21,2026-02-23T04:03:01.157598+00:00,gemini-3-flash,jh_數學2上_FourOperationsOfRadicals,3,5,,3.14.0,6.4,0.7,3,3,0,1.0,0.0,15.0,7.5,7.5,15.0,7.5,7.5,18.0,10.0,8.0,29.0,5.0,4.0,5.0,30.0,8.33,4533.0,2.0,50.0,47.0,20.0,5.0,97.0,E:\Python\MathProject_AST_Research\agent_tools\reports\jh_數學2上_FourOperationsOfRadicals\gen_code\temp_gen_b9179d7f.py,"L1: AST 解析成功; 無危險函數(或已豁免); Import 白名單通過; 全部成功 (平均 0.00s) | Perf: 8.85s | Tokens: In=1894, Out=1483 | Fix: [Full Healer] | Fixes: Basic=0, Advanced=(Regex=0, AST=2) | Verify: Internal Logic Check = PASSED | GenRun:4",,,,1894,1483,3377,8853,1,2,0,0,2
e75d2807-a6ee-41a9-a94d-3413aa3d41c2,2026-02-23T04:03:10.380579+00:00,gemini-3-flash,jh_數學2上_FourOperationsOfRadicals,3,5,,3.14.0,6.4,0.7,3,3,0,1.0,0.0,15.0,7.5,7.5,15.0,7.5,7.5,18.0,10.0,8.0,29.0,5.0,4.0,5.0,38.33,11.0,4434.0,2.0,50.0,47.0,20.0,5.0,97.0,E:\Python\MathProject_AST_Research\agent_tools\reports\jh_數學2上_FourOperationsOfRadicals\gen_code\temp_gen_479f8510.py,"L1: AST 解析成功; 無危險函數(或已豁免); Import 白名單通過; 全部成功 (平均 0.00s) | Perf: 6.76s | Tokens: In=1894, Out=1147 | Fix: [Full Healer] | Fixes: Basic=0, Advanced=(Regex=0, AST=2) | Verify: Internal Logic Check = PASSED | GenRun:5",,,,1894,1147,3041,6760,1,2,0,0,2
